state_postal,NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Fuel_Oil,FUELHEAT_Natural_Gas,FUELHEAT_Other,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
MS,3,-2,1,2210,1,7557.52,0,1,0,0,0,0,0,0,1,0,0,0
MS,1,-2,1,2043,3,6155.0,0,1,0,0,1,0,0,0,0,0,0,0
GA,2,6,1,2262,6,16973.56,1,0,0,0,1,0,0,0,0,0,0,0
MS,1,-2,0,2140,-2,4254.18,0,1,0,0,0,0,1,0,0,0,0,0
TN,5,10,1,1792,10,26775.22,1,0,0,0,1,0,0,0,0,0,0,1
NC,2,3,1,1813,2,11786.41,1,0,0,0,0,0,0,0,1,0,0,0
OK,1,-2,1,1897,-2,5994.42,0,1,0,0,1,0,0,0,0,0,0,0
SC,2,4,1,1910,4,16319.22,1,0,0,0,0,0,1,0,0,0,0,1
TX,1,3,1,2337,3,4406.83,1,0,0,0,1,0,0,0,0,0,0,0
AL,2,7,1,2054,5,12510.3,1,0,0,0,1,0,0,0,0,0,0,0
AR,2,6,0,1972,6,9738.49,1,0,0,0,0,0,1,0,0,0,0,0
NC,4,5,1,1703,5,19610.51,1,0,0,0,1,0,0,0,0,0,0,0
TX,1,6,1,2336,6,24633.45,0,0,1,0,0,0,1,0,0,0,0,1
TN,2,2,1,2021,2,8067.45,1,0,0,0,1,0,0,0,0,0,0,0
OK,1,3,1,1937,3,18053.56,1,0,0,0,1,0,0,0,0,0,0,0
GA,3,3,1,1984,3,17692.87,1,0,0,0,1,0,0,0,0,0,0,0
OK,2,5,0,1813,5,12445.05,1,0,0,0,0,0,1,0,0,0,1,0
GA,2,3,0,2370,3,14073.0,1,0,0,0,1,0,0,0,0,0,0,0
LA,1,5,0,2762,5,9766.88,1,0,0,0,0,0,1,0,0,0,0,0
GA,1,4,1,2331,4,4141.64,1,0,0,0,1,0,0,0,0,0,0,0
AR,2,2,1,2082,2,17587.1,1,0,0,0,1,0,0,0,0,0,0,0
TX,1,5,1,2278,5,16599.69,1,0,0,0,1,0,0,0,0,0,0,0
NC,1,0,1,1719,0,13181.71,1,0,0,0,1,0,0,0,0,0,0,0
SC,2,4,1,1883,4,11601.39,1,0,0,0,1,0,0,0,0,0,0,1
SC,2,5,1,1604,4,29326.76,1,0,0,0,1,0,0,0,0,0,0,1
SC,1,3,1,1747,3,7857.0,1,0,0,0,0,0,1,0,0,0,0,0
TX,3,30,0,2533,15,9212.73,1,0,0,0,0,0,1,0,0,0,0,0
AR,4,3,1,2074,2,14854.92,1,0,0,0,1,0,0,0,0,0,0,0
OK,5,7,0,2027,7,57738.48,1,0,0,0,1,0,0,0,0,0,1,0
AL,5,2,1,2227,1,18507.36,1,0,0,0,1,0,0,0,0,0,0,1
SC,1,-2,1,1882,-2,11696.9,0,1,0,0,0,0,1,0,0,0,0,0
SC,3,3,0,1959,3,7490.41,1,0,0,0,0,0,1,0,0,0,0,1
MS,2,3,0,2200,3,18980.26,1,0,0,0,0,0,1,0,0,0,0,0
MS,2,4,0,1759,3,17228.52,0,0,1,0,0,0,1,0,0,0,0,1
AR,2,2,0,1762,2,8816.05,1,0,0,0,0,0,1,0,0,0,0,0
OK,4,5,0,2162,5,16559.35,1,0,0,0,0,0,1,0,0,0,0,0
GA,1,-2,1,1771,1,4795.79,0,1,0,0,0,0,1,0,0,0,0,0
SC,2,7,1,2076,12,16767.24,1,0,0,0,1,0,0,0,0,0,0,0
LA,3,4,1,2336,4,11399.49,1,0,0,0,0,0,1,0,0,0,0,0
GA,3,3,0,1836,2,7388.9,1,0,0,0,0,0,1,0,0,0,0,0
GA,1,5,0,1645,5,18944.8,1,0,0,0,0,0,1,0,0,0,1,0
TX,2,3,1,2474,3,16740.88,1,0,0,0,1,0,0,0,0,0,0,0
AL,3,4,0,1973,4,18662.88,1,0,0,0,1,0,0,0,0,0,0,0
AR,1,2,0,2160,2,5745.99,1,0,0,0,0,0,1,0,0,0,0,0
AR,2,0,1,2020,0,5852.74,1,0,0,0,1,0,0,0,0,0,0,0
OK,4,7,0,1891,7,16444.31,1,0,0,0,0,0,1,0,0,0,0,1
AL,2,0,1,2123,1,8943.78,1,0,0,0,1,0,0,0,0,0,0,0
GA,5,7,1,1525,7,24842.54,1,0,0,0,1,0,0,0,0,0,0,0
NC,5,5,0,1603,5,25030.62,1,0,0,0,0,0,1,0,0,0,0,1
AL,1,2,1,1628,1,12202.16,1,0,0,0,1,0,0,0,0,0,0,0
OK,2,2,0,1633,2,7960.04,1,0,0,0,0,0,1,0,0,0,0,1
OK,1,3,1,2000,1,6146.77,1,0,0,0,0,0,1,0,0,0,0,0
LA,2,6,1,2564,6,18780.46,1,0,0,0,1,0,0,0,0,0,0,0
MS,1,0,1,2202,7,17181.18,1,0,0,0,1,0,0,0,0,0,0,0
AR,4,8,0,2116,8,14080.66,1,0,0,0,0,0,1,0,0,0,0,0
OK,3,-2,0,1872,3,1492.9,0,1,0,0,0,0,1,0,0,0,0,1
TX,1,2,1,2262,2,18633.49,1,0,0,0,1,0,0,0,0,0,0,0
SC,4,6,1,1858,5,24728.4,1,0,0,0,0,0,1,0,0,0,0,0
TX,2,4,1,2346,4,15600.22,1,0,0,0,1,0,0,0,0,0,0,1
AR,2,4,1,2007,4,25296.9,1,0,0,0,1,0,0,0,0,0,0,0
MS,1,-2,1,2077,-2,8338.92,0,1,0,0,1,0,0,0,0,0,0,0
TX,7,2,1,2066,4,11641.07,1,0,0,0,0,0,1,0,0,0,0,0
MS,1,-2,1,1883,6,25490.46,0,1,0,0,1,0,0,0,0,0,0,0
NC,2,3,1,1918,3,28891.72,1,0,0,0,1,0,0,0,0,0,0,1
AR,1,2,1,1745,2,4197.73,1,0,0,0,1,0,0,0,0,0,0,0
NC,4,6,1,2062,6,27478.39,1,0,0,0,1,0,0,0,0,0,0,1
SC,3,12,1,1918,12,9608.49,1,0,0,0,1,0,0,0,0,0,0,0
LA,1,3,0,2733,3,10998.9,1,0,0,0,0,0,1,0,0,0,0,1
GA,6,5,1,2247,5,19003.79,1,0,0,0,1,0,0,0,0,0,0,0
NC,2,5,1,1424,5,12170.71,1,0,0,0,1,0,0,0,0,0,0,0
AL,2,2,1,1739,2,14927.33,1,0,0,0,0,0,0,0,1,0,0,1
NC,2,10,1,1809,10,14286.92,1,0,0,0,1,0,0,0,0,0,0,0
GA,1,1,1,1774,-2,12836.05,1,0,0,0,1,0,0,0,0,0,0,0
NC,2,3,1,1918,3,21921.3,1,0,0,0,1,0,0,0,0,0,0,1
SC,4,7,1,2655,7,13694.22,1,0,0,0,1,0,0,0,0,0,1,0
OK,2,7,1,2052,7,13965.11,1,0,0,0,1,0,0,0,0,0,0,1
AL,2,1,1,2546,1,7179.82,1,0,0,0,1,0,0,0,0,0,0,0
NC,2,-2,1,1704,-2,14423.77,0,1,0,0,1,0,0,0,0,0,0,0
AL,2,3,1,1708,3,15196.66,1,0,0,0,0,0,0,0,1,0,0,0
OK,2,10,0,1839,10,20256.49,1,0,0,0,0,0,1,0,0,0,0,1
TX,4,7,0,2336,7,16589.28,1,0,0,0,0,0,1,0,0,0,0,0
AR,1,1,1,2077,1,11507.22,1,0,0,0,1,0,0,0,0,0,0,0
OK,1,-2,1,1947,-2,4210.04,0,1,0,0,0,0,1,0,0,0,0,0
AR,3,4,1,1846,4,18465.07,1,0,0,0,1,0,0,0,0,0,0,0
AL,1,1,1,1708,1,10974.03,1,0,0,0,1,0,0,0,0,0,0,1
LA,2,10,1,2384,6,24664.7,1,0,0,0,0,0,1,0,0,0,1,0
OK,2,3,0,1707,3,7720.35,1,0,0,0,0,0,1,0,0,0,0,0
AL,2,-2,0,1641,-2,7834.52,0,1,0,0,1,0,0,0,0,0,0,0
AR,2,10,1,2000,10,18488.44,1,0,0,0,1,0,0,0,0,0,0,0
OK,1,-2,1,1956,-2,10884.8,0,1,0,0,1,0,0,0,0,0,0,0
GA,6,5,1,2408,5,13661.76,1,0,0,0,1,0,0,0,0,0,0,1
MS,2,7,0,1978,7,30007.67,1,0,0,0,0,0,1,0,0,0,1,0
AR,4,10,0,2180,10,13285.09,1,0,0,0,1,0,0,0,0,0,0,0
AR,3,3,1,1976,3,11837.89,1,0,0,0,0,0,1,0,0,0,0,1
AL,2,3,1,1640,3,13359.21,1,0,0,0,1,0,0,0,0,0,0,0
TX,1,1,0,2086,1,3392.37,1,0,0,0,0,0,1,0,0,0,0,0
MS,2,6,1,1997,7,8905.31,1,0,0,0,0,0,1,0,0,0,0,0
NC,2,10,1,1498,10,17035.17,1,0,0,0,1,0,0,0,0,0,0,1
MS,1,2,0,1674,2,12338.18,1,0,0,0,0,0,1,0,0,0,0,0
TX,2,1,1,2246,1,3591.41,1,0,0,0,1,0,0,0,0,0,0,1
SC,2,4,1,2285,4,7195.94,1,0,0,0,0,0,1,0,0,0,0,1
MS,1,2,0,1927,2,4719.35,1,0,0,0,0,0,1,0,0,0,0,0
SC,2,2,0,1645,2,10491.29,1,0,0,0,0,0,1,0,0,0,0,1
OK,1,3,1,2035,3,6879.56,1,0,0,0,0,0,1,0,0,0,0,1
TX,1,1,1,2094,1,3629.2,1,0,0,0,1,0,0,0,0,0,0,0
MS,2,2,1,2108,2,8712.06,1,0,0,0,1,0,0,0,0,0,0,0
SC,3,-2,1,1613,-2,13937.67,0,1,0,0,1,0,0,0,0,0,0,0
OK,1,3,0,2434,3,9271.47,1,0,0,0,0,0,1,0,0,0,0,1
AR,2,5,1,2042,5,26445.41,1,0,0,0,1,0,0,0,0,0,0,0
TX,1,3,1,2364,2,22384.87,1,0,0,0,1,0,0,0,0,0,0,1
OK,1,2,1,1515,2,8154.05,1,0,0,0,0,0,1,0,0,0,0,0
OK,2,1,1,1877,1,9274.76,1,0,0,0,0,0,1,0,0,0,0,1
OK,2,4,0,1808,4,13262.14,0,0,1,0,0,0,1,0,0,0,0,1
SC,3,4,1,1863,4,12445.39,1,0,0,0,1,0,0,0,0,0,0,0
AR,2,-2,1,2147,-2,6520.24,0,1,0,0,1,0,0,0,0,0,0,0
OK,4,3,0,1652,3,13879.08,1,0,0,0,1,0,0,0,0,0,0,1
AR,2,4,0,1946,4,15089.11,1,0,0,0,0,0,1,0,0,0,0,1
OK,2,4,1,1730,4,13826.74,1,0,0,0,0,0,1,0,0,0,0,1
AR,1,3,0,1914,3,7375.94,0,0,1,0,0,0,1,0,0,0,0,0
OK,2,10,0,1894,10,20982.12,1,0,0,0,0,0,1,0,0,0,0,1
OK,2,1,0,1819,1,7903.73,1,0,0,0,0,0,1,0,0,0,0,0
MS,2,4,1,2212,4,14501.88,1,0,0,0,0,0,1,0,0,0,0,0
OK,4,8,0,1794,8,10476.84,1,0,0,0,0,0,1,0,0,0,0,1
SC,3,4,1,1505,4,17265.77,1,0,0,0,1,0,0,0,0,0,0,0
NC,2,4,1,1824,4,11588.45,1,0,0,0,1,0,0,0,0,0,0,1
AR,3,4,0,1910,4,5287.88,1,0,0,0,0,0,1,0,0,0,0,0
AR,4,6,0,1972,6,17508.65,0,0,1,0,1,0,0,0,0,0,0,1
LA,1,3,1,2436,3,12798.16,1,0,0,0,1,0,0,0,0,0,0,0
GA,5,14,1,1798,14,25981.1,1,0,0,0,1,0,0,0,0,0,0,0
MS,2,-2,1,2237,-2,7933.33,0,1,0,0,0,0,1,0,0,0,0,0
AR,2,3,0,2176,3,11638.42,1,0,0,0,0,0,1,0,0,0,0,0
MS,3,5,0,2304,5,14458.77,1,0,0,0,0,0,1,0,0,0,0,0
AR,4,8,1,1941,8,11247.4,1,0,0,0,0,0,1,0,0,0,0,1
GA,5,6,1,2056,6,24622.1,1,0,0,0,1,0,0,0,0,0,0,0
MS,1,-2,0,2032,1,13098.62,0,1,0,0,0,0,1,0,0,0,0,0
TX,2,7,1,2594,7,10296.98,1,0,0,0,1,0,0,0,0,0,0,0
