"LGTIN1TO4","LGTIN4TO8","LGTINMORE8","LGTINLED","LGTINCFL","LGTINCAN","LGTOUTANY","LGTOUTNITE","LGTOUTLED","LGTOUTCFL","LGTOUTCAN","ZLGTIN1TO4","ZLGTIN4TO8","ZLGTINCAN","ZLGTINCFL","ZLGTINLED","ZLGTINMORE8","ZLGTOUTANY","ZLGTOUTCAN","ZLGTOUTCFL","ZLGTOUTLED","ZLGTOUTNITE","DOEID","NWEIGHT"
4,6,0,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102426,8327.9925205
6,0,6,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,1,108618,7627.1685985
2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102087,9836.5184759
4,2,2,0,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110130,5586.199523
2,2,0,0,4,4,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,100507,13185.727132
4,2,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115377,15014.648696
20,10,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117684,9638.5032051
0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109880,3254.2246544
8,5,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111976,3638.2777563
4,10,8,0,3,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108101,2928.1995732
4,0,1,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107849,5303.2348491
0,0,8,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,110969,9365.868152
0,0,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,111429,2158.1010896
1,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,116910,3931.8529367
4,8,8,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116720,3619.2305381
8,8,2,0,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100275,4591.5146604
0,6,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,110571,3873.2776579
5,4,2,0,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108045,1270.6428142
7,6,3,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104677,5149.0633383
7,7,4,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110943,11410.0315
4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,117751,7033.0940812
2,2,0,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116542,9268.405731
1,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110649,3388.9727525
1,1,2,0,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114964,11190.360099
6,3,0,0,2,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105168,6958.5593291
6,12,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107837,3578.6537119
3,6,6,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110206,12085.21223
20,6,10,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105728,2979.5115977
5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108384,9997.8895542
3,3,6,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111996,19297.573046
5,3,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103481,18325.514582
4,4,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104131,1881.6489779
2,2,0,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114417,4417.8360792
1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,107434,11781.845055
2,2,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,116537,9914.4903639
4,4,4,0,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106541,1855.2038256
4,2,0,0,0,1,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,105037,12041.481845
8,6,6,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107019,1314.608473
4,0,0,0,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108929,3801.5746775
6,10,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101716,12545.49469
10,7,7,0,4,2,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118474,7471.0949197
3,3,1,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101417,16771.951509
8,8,0,0,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104043,4156.9143463
0,2,0,0,1,0,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,105047,13024.756717
