"REGIONC","DIVISION","STATE_FIPS","state_postal","state_name","DOEID","NWEIGHT"
WEST,Pacific,2,AK,Alaska,104267,775.02264868
WEST,Pacific,2,AK,Alaska,102232,1311.758898
WEST,Pacific,2,AK,Alaska,100624,958.20469636
WEST,Pacific,2,AK,Alaska,104909,1398.2204795
WEST,Pacific,2,AK,Alaska,115212,882.86195514
WEST,Pacific,2,AK,Alaska,100787,831.88976889
WEST,Pacific,2,AK,Alaska,115187,869.99886756
WEST,Pacific,2,AK,Alaska,103124,590.44348644
WEST,Pacific,2,AK,Alaska,110775,1030.2459193
WEST,Pacific,2,AK,Alaska,115566,915.05545984
WEST,Pacific,2,AK,Alaska,105109,482.27057073
WEST,Pacific,2,AK,Alaska,110540,802.90223055
WEST,Pacific,2,AK,Alaska,113294,478.61426503
WEST,Pacific,2,AK,Alaska,103820,736.00945337
WEST,Pacific,2,AK,Alaska,104222,771.44611124
WEST,Pacific,2,AK,Alaska,109409,837.56643891
WEST,Pacific,2,AK,Alaska,107681,690.55912332
WEST,Pacific,2,AK,Alaska,111518,730.35322573
WEST,Pacific,2,AK,Alaska,117937,705.21081909
WEST,Pacific,2,AK,Alaska,107985,1147.1506143
WEST,Pacific,2,AK,Alaska,114358,568.7088117
WEST,Pacific,2,AK,Alaska,101975,1088.9056657
WEST,Pacific,2,AK,Alaska,102502,1281.4163954
WEST,Pacific,2,AK,Alaska,108851,910.82076371
WEST,Pacific,2,AK,Alaska,109380,828.70122578
WEST,Pacific,2,AK,Alaska,103278,1058.3728666
WEST,Pacific,2,AK,Alaska,109390,608.36221182
WEST,Pacific,2,AK,Alaska,105146,482.27057073
WEST,Pacific,2,AK,Alaska,100728,839.83776095
WEST,Pacific,2,AK,Alaska,103104,815.49482411
WEST,Pacific,2,AK,Alaska,105093,1133.4004992
WEST,Pacific,2,AK,Alaska,113347,634.93225591
WEST,Pacific,2,AK,Alaska,106178,1104.8797355
WEST,Pacific,2,AK,Alaska,104349,645.07352779
WEST,Pacific,2,AK,Alaska,116145,1035.0141008
WEST,Pacific,2,AK,Alaska,101587,967.1284284
WEST,Pacific,2,AK,Alaska,108863,984.88028218
WEST,Pacific,2,AK,Alaska,100672,976.03473358
WEST,Pacific,2,AK,Alaska,106145,867.07400726
WEST,Pacific,2,AK,Alaska,100703,1389.769267
WEST,Pacific,2,AK,Alaska,106409,721.84951616
WEST,Pacific,2,AK,Alaska,112981,846.70558197
WEST,Pacific,2,AK,Alaska,118228,754.13554993
WEST,Pacific,2,AK,Alaska,105715,955.93048171
WEST,Pacific,2,AK,Alaska,103923,656.08762188
WEST,Pacific,2,AK,Alaska,102391,931.6750875
WEST,Pacific,2,AK,Alaska,100882,780.34933943
WEST,Pacific,2,AK,Alaska,101058,913.37730344
WEST,Pacific,2,AK,Alaska,100369,944.43679723
WEST,Pacific,2,AK,Alaska,116390,926.66123097
WEST,Pacific,2,AK,Alaska,115784,437.92577799
WEST,Pacific,2,AK,Alaska,110183,1011.4214879
WEST,Pacific,2,AK,Alaska,104828,754.13554993
WEST,Pacific,2,AK,Alaska,103441,795.2861564
WEST,Pacific,2,AK,Alaska,114128,625.15196592
WEST,Pacific,2,AK,Alaska,113930,987.26097245
WEST,Pacific,2,AK,Alaska,116440,850.45995704
WEST,Pacific,2,AK,Alaska,108341,1337.4977754
WEST,Pacific,2,AK,Alaska,115826,1087.7730136
