"HDD65","CDD65","HDD30YR_PUB","CDD30YR_PUB","DOEID","NWEIGHT"
5109,1539,5174,1276,113132,7580.9849171
3649,1539,4524,1240,107141,4654.090558
2965,1539,3852,1332,104885,9064.4723262
4228,1539,4490,1312,104910,4768.1619679
3636,1539,4307,1221,104013,5286.3451582
2561,1795,2445,1545,117316,7428.0462795
3061,1795,3333,2027,117672,6449.7561173
2946,1795,3138,1990,105291,3965.9769346
1247,1795,1352,1294,112893,9716.7022724
2315,2051,2999,1935,116457,4363.4221957
2265,2051,2617,2176,106416,4402.4559373
2141,2051,2478,2052,101569,7857.5543848
1790,2307,2417,2033,117026,8550.6437054
512,3843,623,3452,106668,10441.998376
103,4867,155,4257,101566,17122.2558
7021,4,7301,0,107947,1211.2873365
10128,4,10791,0,115842,712.15056077
10609,4,10057,9,109785,840.50821135
10148,4,10789,0,114858,595.64450776
6982,4,7099,0,103441,795.2861564
11231,4,10594,16,109217,741.79720464
10162,4,10834,0,104908,721.28769359
10662,4,9885,34,101605,754.13554993
11034,4,10566,6,103956,955.93048171
13981,4,13098,123,118104,751.60471787
10955,4,11632,28,109781,608.42330569
11034,4,10847,0,114584,862.7570041
4339,260,4582,202,115240,5909.6806132
6220,260,7375,203,106358,2278.0522951
8136,260,7339,470,117127,1078.7147661
6135,260,6533,303,117611,3936.1371301
4315,260,4508,238,108368,5620.7381081
7297,516,8021,353,109880,3254.2246544
2287,516,2711,365,117836,11872.420247
8767,516,8920,464,104628,1264.104191
1503,516,2077,150,107660,8566.951885
9420,516,9015,496,118173,1268.8533078
7629,516,7957,417,115457,864.31981821
7284,516,7754,398,113550,1008.1787572
6182,772,6778,455,103100,8007.8548701
6334,772,6639,655,108016,13360.505841
6331,772,6727,619,100879,9779.7069245
6455,772,6468,621,100669,1979.2759278
6489,772,6686,798,111563,13218.50696
5680,772,6725,365,117889,3162.0650153
6180,772,6912,425,108719,5731.8235604
4741,1028,5328,837,118026,5596.6666204
5132,1028,5770,853,107455,4066.2743699
5042,1028,5636,891,105782,5988.3331735
5892,1028,6204,956,110141,6014.0168583
5494,1028,5800,1052,114832,16825.254568
4353,1284,4100,1413,114332,7069.3432024
1055,1284,1579,809,104669,13762.512464
4406,1284,5030,1143,107393,9809.6080133
3758,1284,4538,952,106488,7857.4238379
