"HHSEX","HHAGE","EMPLOYHH","EDUCATION","SDESCENT","HOUSEHOLDER_RACE","NHSLDMEM","NUMCHILD","NUMADULT1","NUMADULT2","ATHOME","MONEYPY","ZATHOME","ZEDUCATION","ZEMPLOYHH","ZHHAGE","ZHHSEX","ZMONEYPY","ZNHSLDMEM","ZNUMADULT1","ZNUMADULT2","ZNUMCHILD","ZSDESCENT","ZHOUSEHOLDER_RACE","DOEID","NWEIGHT"
2,20,2,3,0,1,3,0,3,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,118277,12865.432324
1,20,4,3,0,1,3,1,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,101289,2329.4742188
1,20,4,1,1,1,3,1,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1,112761,8099.9759973
1,20,1,2,0,2,3,1,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,103924,16244.178239
1,20,4,2,1,1,3,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,109400,6076.4504202
2,20,2,3,1,2,3,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,112308,8741.1625242
1,20,2,3,0,1,3,0,3,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,106487,2160.3896856
2,20,4,2,0,1,3,0,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,100020,5876.5015346
2,20,4,3,0,1,3,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,108979,2529.3049667
1,20,4,2,0,4,3,0,2,1,5,8,0,0,0,0,0,1,0,0,0,0,0,0,104290,15287.280405
1,20,2,3,0,1,3,0,3,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,111782,16642.051602
1,20,4,3,0,1,3,0,3,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,104431,5959.5190185
2,20,2,4,0,1,4,1,3,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,117873,6401.8776874
1,20,2,3,0,1,4,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,112509,4445.5666404
2,20,2,3,0,1,4,1,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,106297,9429.7969801
2,20,4,2,0,1,4,0,4,0,5,12,0,0,0,0,0,1,0,0,0,0,0,0,101996,5264.9627646
2,20,4,2,0,1,4,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,116876,12450.069168
1,20,4,2,0,1,4,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,110229,1087.0051147
1,20,4,3,0,1,4,0,4,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,111579,10316.815304
1,20,4,3,1,2,4,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,107252,7815.2529604
1,20,2,2,1,1,4,1,3,0,5,7,0,0,0,0,0,1,0,0,0,0,0,1,116878,10055.849372
1,20,4,2,1,1,4,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,118037,15335.374443
2,20,2,2,1,2,4,0,4,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,112374,13730.063864
1,20,4,3,1,1,5,1,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,111957,4585.7068634
2,20,4,4,0,2,5,0,5,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,112730,9497.15381
1,20,2,2,0,1,5,2,2,1,5,9,0,0,0,0,0,0,0,1,1,0,0,0,108193,5470.9621084
1,20,1,2,1,1,5,0,5,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,113275,5000.563015
2,20,1,1,1,1,5,2,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,114924,4813.9329088
2,20,4,2,1,3,5,1,4,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,102760,10647.409513
2,20,1,2,1,1,6,2,4,0,5,4,0,0,0,0,0,1,0,0,0,0,0,1,110246,8363.6043928
1,20,1,3,0,4,6,1,5,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,114178,1576.0510606
1,20,2,4,0,2,7,3,2,2,3,6,0,0,0,1,0,0,0,0,0,0,0,0,106812,10894.839808
2,21,2,4,0,1,1,0,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,117778,13862.671517
1,21,1,2,0,1,1,0,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,106938,8587.3012262
1,21,1,3,1,1,1,0,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,114700,1540.0380422
1,21,4,3,0,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,110201,15975.140629
1,21,1,2,0,1,1,0,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,110632,2091.5200873
2,21,2,2,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,110152,10245.845804
2,21,2,3,0,1,1,0,1,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,105852,5652.6500713
2,21,4,3,0,3,1,0,1,0,3,6,0,1,0,1,1,0,0,1,1,0,0,0,116660,7153.0344403
1,21,4,3,0,1,1,0,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,113041,5299.2886666
1,21,4,4,1,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,105909,1790.1478318
2,21,1,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,102811,1536.9055377
1,21,1,1,1,1,1,0,1,0,0,4,1,1,1,1,0,1,1,1,1,1,1,1,106207,15233.606282
2,21,2,3,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,106469,1837.1308638
1,21,1,2,1,1,1,0,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,113498,2706.0605154
2,21,2,2,0,2,2,0,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,103097,16884.842668
1,21,4,1,0,1,2,0,2,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,101532,6158.6569692
1,21,2,3,0,1,2,0,2,0,5,9,0,0,0,0,0,0,1,0,1,1,0,0,115298,8356.6333437
1,21,4,2,0,1,2,0,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,102226,4858.7543344
2,21,4,4,1,1,2,0,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,111525,1563.9988585
1,21,1,3,0,1,2,0,2,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,114705,1432.0768515
1,21,4,3,0,1,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,114237,1280.2512484
1,21,1,3,0,1,2,0,2,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,111464,4251.2371921
1,21,4,2,0,1,2,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,113776,4529.1041138
1,21,1,3,0,1,2,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,109523,6808.2511174
2,21,1,2,0,1,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,110414,2905.4068434
1,21,1,2,0,1,2,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,113798,19635.178342
2,21,1,2,0,1,2,0,2,0,5,9,0,0,0,0,0,0,0,1,1,1,0,0,102148,9192.8621839
1,21,2,1,0,1,2,0,1,1,5,2,0,1,1,1,1,1,0,1,1,1,1,1,109999,7746.4566336
2,21,1,3,0,6,2,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,113193,5247.4339134
2,21,1,2,0,1,2,1,1,0,2,15,0,0,0,0,0,0,0,0,1,1,0,0,108380,6569.6557803
1,21,2,2,0,1,2,1,1,0,5,13,0,0,0,0,0,1,0,0,1,1,0,0,100227,9448.2379016
2,21,1,3,0,1,2,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,116273,7044.6919188
2,21,2,2,0,1,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,107025,7641.3067224
1,21,2,3,0,1,2,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,105826,15750.451426
1,21,4,3,0,1,2,0,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,111003,11233.855039
1,21,2,3,0,1,2,0,2,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,112025,4139.572578
1,21,1,1,0,1,2,0,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,110904,7965.8639453
1,21,2,2,0,1,2,0,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,115984,3888.0581325
2,21,1,2,1,1,2,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,114114,1830.5578897
2,21,4,3,0,1,2,0,2,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,101078,1714.8696528
2,21,1,3,0,1,2,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,106784,10490.968875
1,21,2,2,0,1,3,2,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,105044,4555.4184419
2,21,2,4,1,1,3,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,102218,6136.0176835
2,21,4,4,0,1,3,0,3,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,110877,4228.249672
2,21,4,2,0,2,3,0,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,112058,8037.6163613
2,21,4,2,0,4,3,0,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,102237,9441.4284689
1,21,4,1,0,6,3,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,115003,10030.842273
1,21,1,3,0,2,3,0,3,0,5,8,0,0,0,0,0,0,0,1,1,0,0,1,104968,11566.170858
2,21,4,2,0,1,3,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,116886,3144.6523597
1,21,4,3,0,1,3,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,110003,1594.0856005
2,21,1,4,0,1,3,0,3,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,100539,5226.0022496
1,21,2,3,0,1,3,0,3,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,110176,9958.0020939
2,21,4,2,0,1,3,0,3,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,114663,5264.0202439
1,21,2,3,0,1,3,0,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,110736,2914.8957876
1,21,1,2,0,1,3,0,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,106641,1092.98622
1,21,2,2,0,1,3,1,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,117962,7499.5376695
2,21,1,2,0,1,3,0,3,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,106596,5593.8569648
2,21,2,2,0,1,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,110018,3792.9886994
1,21,2,3,0,1,3,0,3,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,111573,14502.607286
2,21,1,3,0,1,3,0,3,0,5,13,1,0,0,0,0,0,0,0,0,0,0,0,100187,5576.8820588
1,21,4,4,0,1,3,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,100979,1894.4701958
1,21,1,3,0,1,4,0,4,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,107303,3227.8752514
1,21,2,5,0,6,4,3,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,105589,7092.5241312
1,21,2,3,0,1,4,0,4,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,100832,11935.7373
1,21,2,3,0,1,4,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,104786,9275.2670304
1,21,1,2,1,1,4,0,4,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1,115771,20165.509781
2,21,1,2,0,1,4,1,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,113336,6919.3345616
1,21,1,3,0,2,4,0,4,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,118443,5132.6228915
1,21,4,2,1,1,4,2,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,100766,6553.9499986
2,21,4,2,0,1,4,1,2,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,110205,5761.4142237
2,21,4,3,0,1,4,0,4,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,116284,5185.6303867
1,21,4,2,0,1,4,2,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,113720,14238.53559
1,21,2,2,1,1,4,0,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,1,113379,5318.1022384
1,21,1,2,0,1,4,2,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,114331,5945.9639496
1,21,4,2,0,1,4,2,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,113890,8158.8212852
2,21,2,3,0,1,4,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,101070,3341.2635617
2,21,4,2,1,1,5,1,3,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,103389,17422.049085
2,21,1,1,1,1,5,1,4,0,5,16,0,0,0,0,0,0,0,0,1,1,0,0,118162,7780.6862359
2,21,2,3,0,1,5,3,2,0,5,6,0,0,0,0,0,0,1,1,1,0,0,0,113674,11379.876673
