"TYPETHERM","HEATCNTL","TEMPHOME","TEMPGONE","TEMPNITE","COOLCNTL","TEMPHOMEAC","TEMPGONEAC","TEMPNITEAC","ZHEATCNTL","ZTEMPGONE","ZTEMPGONEAC","ZTEMPHOME","ZTEMPHOMEAC","ZTEMPNITE","ZTEMPNITEAC","ZTYPETHERM","DOEID","NWEIGHT"
3,3,69,50,68,3,75,85,74,0,0,0,0,0,0,0,0,117463,10321.942037
3,3,65,50,75,3,75,85,68,0,0,0,0,0,0,0,0,110236,8511.5063346
2,3,65,50,55,4,75,85,80,0,0,0,0,0,0,0,0,102117,3518.2651134
2,3,68,50,69,3,75,90,73,0,0,0,0,0,0,0,0,104018,1382.8682086
1,4,55,50,55,4,75,78,78,0,0,1,0,1,0,1,0,102454,4778.0370765
1,2,54,50,50,2,76,90,90,0,0,0,0,0,0,0,0,107577,9514.8916042
2,1,68,50,68,3,76,89,74,0,0,0,0,0,0,0,0,108867,13170.949379
1,4,70,50,70,1,76,80,70,0,0,0,0,0,0,0,0,114107,14578.172315
1,4,60,50,65,4,76,50,60,0,0,0,0,1,0,0,0,105997,9422.9506762
0,1,50,50,50,1,77,79,78,1,1,0,1,0,1,0,0,114621,13968.343923
1,1,65,50,65,4,77,77,77,0,0,0,0,0,0,0,0,118387,8654.3427773
2,3,67,50,65,3,77,90,67,0,0,0,0,0,0,0,0,112921,16201.275484
0,2,69,50,65,4,78,85,72,0,0,0,0,0,0,0,0,100974,5464.1840551
2,1,75,50,60,1,78,80,72,0,0,0,0,0,0,0,0,108097,3632.1132595
2,2,70,50,60,2,78,85,72,0,0,0,0,0,0,0,0,104314,4118.7754481
2,2,68,50,70,2,78,85,74,0,0,0,0,0,0,0,0,112242,5313.6584358
2,2,68,50,65,2,78,80,78,0,0,0,0,0,0,0,0,108176,10547.346387
1,2,73,50,60,2,79,78,77,1,1,1,0,0,1,0,0,109586,8356.9676476
2,3,67,50,67,3,79,84,79,0,0,0,0,0,0,0,0,104430,13065.80735
0,4,68,50,68,1,80,85,70,0,0,0,0,0,0,0,0,117305,6312.4199842
0,4,60,50,55,4,80,85,78,0,0,0,0,0,0,0,0,101370,8456.0936959
2,3,67,50,50,5,80,80,80,0,0,0,0,0,0,0,0,112082,4821.8279565
0,4,50,50,75,2,80,80,70,0,0,0,0,0,0,0,0,106640,13391.265073
0,5,68,50,60,5,80,90,70,0,0,0,0,0,0,0,0,110203,8457.8322709
1,1,65,50,65,2,80,85,80,0,0,0,0,0,0,0,0,115480,10692.568037
1,4,60,50,60,2,80,80,75,0,0,0,0,0,0,0,0,116224,3719.3759295
1,1,80,50,70,1,80,50,70,0,1,0,0,0,0,0,0,106944,6902.1092163
3,2,70,50,68,2,80,85,80,0,0,0,0,0,0,0,0,115004,3774.034047
0,4,60,50,68,4,80,85,70,0,0,0,0,0,1,0,0,102892,5086.7362333
0,5,60,50,50,4,80,75,78,0,0,0,0,0,0,0,0,102795,12070.974514
0,4,50,50,50,5,80,80,80,1,0,1,0,1,0,1,0,102938,12435.491208
0,4,60,50,65,4,80,50,50,0,0,0,0,0,1,0,0,103933,10091.039564
1,4,50,50,50,1,80,80,80,0,0,0,0,0,0,0,0,113230,5593.5762606
3,2,66,50,50,2,80,74,74,0,0,1,0,0,0,1,0,103126,9297.1300455
3,4,58,50,50,4,82,88,72,0,0,0,0,0,0,0,0,109892,8735.9427276
2,4,64,50,55,1,88,88,88,0,0,0,0,0,0,0,0,110611,2842.9718948
2,5,70,50,50,1,90,80,80,0,0,0,0,0,0,0,0,100980,14773.538117
0,2,66,50,50,1,90,90,85,1,1,0,1,0,1,0,0,106109,14188.18987
0,5,50,50,66,5,90,90,75,1,0,0,0,0,1,0,0,110993,7167.5200324
0,5,70,50,70,5,90,90,90,0,0,0,0,0,0,0,0,109410,9139.5281004
0,5,73,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,106206,6357.7239891
2,2,70,50,70,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,1,107384,3295.6895548
1,2,57,50,57,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,106473,903.29123261
1,2,70,50,70,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,102862,1528.2872445
0,4,70,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,101064,5717.6724049
0,1,65,50,65,-2,-2,-2,-2,1,0,-2,0,-2,0,-2,0,100733,1062.2176676
0,2,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,114355,9746.8658659
1,4,70,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,111853,1458.5819771
1,2,60,50,55,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,106480,6832.6426035
0,99,70,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,110320,4934.8722715
