"DOEID","BA_climate","IECC_climate_code","UATYP10","NWEIGHT"
118385,Mixed-Humid,3A,C,13821.802378
104585,Mixed-Humid,3A,C,6617.4174729
116289,Hot-Humid,3A,C,15221.837519
110662,Mixed-Humid,3A,C,11449.407877
117420,Mixed-Humid,3A,C,7244.0835248
111745,Hot-Humid,3A,C,6871.9611933
106164,Mixed-Humid,3A,C,7256.0380295
105905,Mixed-Humid,3A,C,8201.0494826
102372,Mixed-Humid,3A,C,6823.5894983
110681,Mixed-Humid,3A,C,5353.987715
107266,Mixed-Humid,3A,C,7352.928914
108278,Hot-Humid,3A,C,4973.3910352
104265,Hot-Humid,3A,C,5843.2345795
100822,Mixed-Humid,3A,C,3688.5100481
114219,Mixed-Humid,3A,C,6891.312299
108104,Mixed-Humid,3A,C,6488.8766849
106283,Hot-Humid,3A,C,8450.7265088
115658,Mixed-Humid,3A,C,5421.9999786
118106,Mixed-Humid,3A,C,7914.0001284
111961,Hot-Humid,3A,C,8610.4385866
115126,Hot-Humid,3A,C,9684.780827
118007,Mixed-Humid,3A,C,4934.8574576
113024,Mixed-Humid,3A,C,7290.0236577
103778,Mixed-Humid,3A,C,5141.7516139
107057,Hot-Humid,3A,C,6712.3048138
113333,Mixed-Humid,3A,C,3896.6210914
100908,Mixed-Humid,3A,C,7268.9789544
102430,Hot-Humid,3A,C,7884.1068753
114518,Mixed-Humid,3A,C,5241.4613742
112092,Mixed-Humid,3A,C,8893.3361159
117084,Mixed-Humid,3A,C,13451.411159
106794,Hot-Humid,3A,C,4443.4693354
116731,Mixed-Humid,3A,C,5174.5445179
108538,Mixed-Humid,3A,C,3393.0371398
100228,Mixed-Humid,3A,C,4432.0660136
111042,Hot-Humid,3A,C,5484.181563
109518,Mixed-Humid,3A,C,7123.1464106
107125,Mixed-Humid,3A,C,7297.0593416
111099,Mixed-Humid,3A,C,5277.57903
115309,Mixed-Humid,3A,C,5104.0510159
104130,Mixed-Humid,3A,C,6259.5914441
114542,Mixed-Humid,3A,C,4532.7893119
104647,Mixed-Humid,3A,C,6833.2949534
113487,Hot-Humid,3A,C,5216.7901552
105850,Mixed-Humid,3A,C,9714.5269613
116624,Mixed-Humid,3A,C,5981.6749739
108922,Hot-Humid,3A,C,8751.564576
116007,Hot-Humid,3A,C,9400.9707085
116951,Hot-Humid,3A,C,17079.862436
101217,Mixed-Humid,3A,C,7859.5734055
110432,Mixed-Humid,3A,C,5497.4459564
114803,Mixed-Humid,3A,C,4301.2254702
103335,Mixed-Humid,3A,C,5602.1195346
111922,Hot-Humid,3A,C,6542.2290726
116602,Mixed-Humid,3A,C,3447.9766938
104903,Mixed-Humid,3A,C,9782.5527188
106402,Mixed-Humid,3A,C,3439.0262479
104401,Hot-Humid,3A,C,9113.3855819
109764,Mixed-Humid,3A,C,7942.0443119
112816,Mixed-Humid,3A,C,6143.338109
112195,Mixed-Humid,3A,C,7189.9411047
101126,Mixed-Humid,3A,C,7022.5635527
115092,Mixed-Humid,3A,C,5322.8586915
106166,Mixed-Humid,3A,C,5343.9779881
109835,Mixed-Humid,3A,C,5924.4175907
100008,Mixed-Humid,3A,C,9700.2543227
112940,Mixed-Humid,3A,C,4392.0731307
112300,Mixed-Humid,3A,C,4595.1232668
101472,Mixed-Humid,3A,C,2995.028447
100094,Mixed-Humid,3A,C,8373.1240782
105353,Hot-Humid,3A,C,9566.3976201
113848,Hot-Humid,3A,C,10644.848608
113819,Mixed-Humid,3A,C,5343.3284151
107753,Mixed-Humid,3A,C,6342.6749542
114926,Mixed-Humid,3A,C,5108.8092186
108389,Mixed-Humid,3A,C,4699.1998222
113940,Hot-Humid,3A,C,3962.167471
102067,Hot-Humid,3A,C,8259.2949234
100358,Mixed-Humid,3A,C,6986.6023945
109669,Hot-Humid,3A,C,11011.418013
113446,Mixed-Humid,3A,C,7795.0292201
114968,Mixed-Humid,3A,C,10942.219264
106768,Mixed-Humid,3A,C,5729.5869605
115063,Mixed-Humid,3A,C,3045.9248102
113443,Mixed-Humid,3A,C,6115.3184039
100786,Mixed-Humid,3A,C,6868.8338629
103164,Mixed-Humid,3A,C,6458.8837488
111311,Mixed-Humid,3A,C,4707.3737428
117686,Mixed-Humid,3A,C,6934.0976255
117657,Hot-Humid,3A,C,10082.659252
107822,Mixed-Humid,3A,C,4049.5103622
107670,Mixed-Humid,3A,C,11290.17784
118117,Hot-Humid,3A,C,12509.263192
109317,Mixed-Humid,3A,C,6522.8162629
108725,Hot-Humid,3A,C,9677.3439996
116204,Hot-Humid,3A,C,8517.0516407
111978,Hot-Humid,3A,C,7162.6726278
101923,Mixed-Humid,3A,C,6924.4280829
107005,Mixed-Humid,3A,C,6939.0143125
101462,Mixed-Humid,3A,C,4405.3889405
113234,Hot-Humid,3A,C,5807.1454551
118271,Mixed-Humid,3A,C,8129.8656398
103719,Hot-Humid,3A,C,9789.4775383
105478,Hot-Dry,3B,C,9807.6507337
113908,Hot-Dry,3B,C,4719.3289779
108245,Hot-Dry,3B,C,16514.003495
110998,Hot-Dry,3B,C,13631.218393
109759,Hot-Dry,3B,C,13288.139857
117794,Hot-Dry,3B,C,8318.1442265
100043,Hot-Dry,3B,C,10626.261452
108434,Hot-Dry,3B,C,9034.9992418
113989,Hot-Dry,3B,C,6095.9812051
104024,Hot-Dry,3B,C,4883.165685
109478,Hot-Dry,3B,C,8357.1777846
100480,Hot-Dry,3B,C,9834.2497521
107811,Hot-Dry,3B,C,14110.237095
104984,Hot-Dry,3B,C,5960.8384089
111547,Hot-Dry,3B,C,5440.8211533
114227,Hot-Dry,3B,C,9166.295772
107804,Hot-Dry,3B,C,5790.9779257
109511,Hot-Dry,3B,C,13714.393761
102980,Hot-Dry,3B,C,3042.6136506
112599,Hot-Dry,3B,C,10020.839078
102697,Hot-Dry,3B,C,9065.6072628
100994,Hot-Dry,3B,C,11194.387504
103276,Hot-Dry,3B,C,3982.7631718
108974,Hot-Dry,3B,C,2481.2750639
102341,Hot-Dry,3B,C,3991.7116211
112931,Hot-Dry,3B,C,4845.0453941
106031,Hot-Dry,3B,C,11318.272945
113545,Hot-Dry,3B,C,6535.0834602
111787,Hot-Dry,3B,C,11654.536241
108787,Hot-Dry,3B,C,6611.2227776
109662,Hot-Dry,3B,C,13954.375537
106109,Hot-Dry,3B,C,14188.18987
103341,Hot-Dry,3B,C,13170.949379
116466,Hot-Dry,3B,C,9799.8776387
106471,Hot-Dry,3B,C,3943.4385898
113401,Hot-Dry,3B,C,11225.766299
100316,Hot-Dry,3B,C,4470.5511712
118438,Hot-Dry,3B,C,8702.0876369
103503,Hot-Dry,3B,C,13981.688166
102320,Hot-Dry,3B,C,16457.148274
102788,Hot-Dry,3B,C,4327.1960495
116125,Hot-Dry,3B,C,14390.172229
100086,Hot-Dry,3B,C,10374.974188
118427,Hot-Dry,3B,C,5806.3668623
101116,Hot-Dry,3B,C,4901.7700339
113392,Hot-Dry,3B,C,9807.6507337
111564,Hot-Dry,3B,C,9989.118632
114105,Hot-Dry,3B,C,5301.4392495
117443,Hot-Dry,3B,C,15725.933725
115052,Hot-Dry,3B,C,15382.514173
104249,Hot-Dry,3B,C,5863.1566809
108520,Hot-Dry,3B,C,13783.973983
107612,Hot-Dry,3B,C,11944.985632
100118,Hot-Dry,3B,C,5157.3378569
110613,Hot-Dry,3B,C,7889.6384499
101222,Hot-Dry,3B,C,13708.584139
100339,Hot-Dry,3B,C,6083.9280058
109379,Hot-Dry,3B,C,13774.89117
109333,Hot-Dry,3B,C,7283.5921407
104861,Marine,3C,C,8671.0831674
115219,Marine,3C,C,9676.321091
107434,Marine,3C,C,11781.845055
100235,Marine,3C,C,8508.8509918
117220,Marine,3C,C,6565.7953228
103084,Marine,3C,C,10779.198983
117360,Marine,3C,C,9776.581506
102255,Marine,3C,C,11076.985407
103386,Marine,3C,C,6123.3844735
105653,Marine,3C,C,10678.64691
100110,Marine,3C,C,9875.9508663
106872,Marine,3C,C,13506.649397
108616,Marine,3C,C,12130.916276
113279,Marine,3C,C,9050.9725444
117128,Marine,3C,C,11468.871181
112558,Marine,3C,C,14258.337947
105486,Marine,3C,C,9922.3484452
102163,Marine,3C,C,19666.81647
107349,Marine,3C,C,8721.7582505
105970,Mixed-Humid,4A,C,3083.1667568
106484,Mixed-Humid,4A,C,9365.0928336
107394,Mixed-Humid,4A,C,6059.2557797
112477,Mixed-Humid,4A,C,8662.5824256
115263,Mixed-Humid,4A,C,6482.6723588
101663,Mixed-Humid,4A,C,8451.6783832
117594,Mixed-Humid,4A,C,9756.4305012
116955,Mixed-Humid,4A,C,5369.8595817
108160,Mixed-Humid,4A,C,9489.5680916
103435,Mixed-Humid,4A,C,5630.2741178
106053,Mixed-Humid,4A,C,5580.9976321
108340,Mixed-Humid,4A,C,3715.750681
110665,Mixed-Humid,4A,C,4384.0747903
109521,Mixed-Humid,4A,C,11586.461876
104648,Mixed-Humid,4A,C,4665.1207331
114786,Mixed-Humid,4A,C,3624.9369467
101056,Mixed-Humid,4A,C,2095.3678776
117561,Mixed-Humid,4A,C,6057.7580822
108766,Mixed-Humid,4A,C,4999.3513499
106774,Mixed-Humid,4A,C,7122.8589559
105868,Mixed-Humid,4A,C,1602.3277146
113245,Mixed-Humid,4A,C,2136.6854383
109972,Mixed-Humid,4A,C,6211.9833405
106449,Mixed-Humid,4A,C,11839.738695
114553,Mixed-Humid,4A,C,8790.3259782
113624,Mixed-Humid,4A,C,3248.8867709
116713,Mixed-Humid,4A,C,7103.3049026
110752,Mixed-Humid,4A,C,5767.3376658
102759,Mixed-Humid,4A,C,4668.4809563
116518,Mixed-Humid,4A,C,5629.3291656
112309,Mixed-Humid,4A,C,6323.1806839
111006,Mixed-Humid,4A,C,4329.6958273
100473,Mixed-Humid,4A,C,2436.1852964
104240,Mixed-Humid,4A,C,8905.6921609
117374,Mixed-Humid,4A,C,2133.9180282
114143,Mixed-Humid,4A,C,4852.4171794
112473,Mixed-Humid,4A,C,8016.3037777
114515,Mixed-Humid,4A,C,7857.5859102
115003,Mixed-Humid,4A,C,10030.842273
101592,Mixed-Humid,4A,C,8338.7020564
110500,Mixed-Humid,4A,C,5590.7015569
108153,Mixed-Humid,4A,C,10168.153948
114614,Mixed-Humid,4A,C,13051.079314
106955,Mixed-Humid,4A,C,4632.6021115
100136,Mixed-Humid,4A,C,9095.642541
118496,Mixed-Humid,4A,C,6915.0744748
111189,Mixed-Humid,4A,C,5285.7607273
117497,Mixed-Humid,4A,C,3401.1252367
114841,Mixed-Humid,4A,C,4415.4790555
101157,Mixed-Humid,4A,C,5436.5053748
100145,Mixed-Humid,4A,C,1696.3897684
117734,Mixed-Humid,4A,C,3647.4349473
106039,Mixed-Humid,4A,C,8338.7020564
101956,Mixed-Humid,4A,C,6151.4017514
111672,Mixed-Humid,4A,C,5599.6302263
103454,Mixed-Humid,4A,C,4924.7026561
102403,Mixed-Humid,4A,C,3624.9369467
113312,Mixed-Humid,4A,C,4240.5473759
115087,Mixed-Humid,4A,C,4354.1580435
104420,Mixed-Humid,4A,C,5360.1354469
104053,Mixed-Humid,4A,C,4550.732671
112771,Mixed-Humid,4A,C,1642.4097355
102077,Mixed-Humid,4A,C,7308.4926488
108792,Mixed-Humid,4A,C,5239.16634
114482,Mixed-Humid,4A,C,8391.8891725
103947,Mixed-Humid,4A,C,2153.8151092
114792,Mixed-Humid,4A,C,4062.6003545
109912,Mixed-Humid,4A,C,4384.7822221
114799,Mixed-Humid,4A,C,4891.6716669
100312,Mixed-Humid,4A,C,8055.8490834
104145,Mixed-Humid,4A,C,12774.576403
108408,Mixed-Humid,4A,C,7374.0992251
112398,Mixed-Humid,4A,C,4351.8687935
118062,Mixed-Humid,4A,C,9917.2421404
103871,Mixed-Humid,4A,C,1722.3665382
117620,Mixed-Humid,4A,C,7714.97864
103373,Mixed-Humid,4A,C,6414.8435414
114403,Mixed-Humid,4A,C,7964.3012319
113399,Mixed-Humid,4A,C,3893.1233055
113941,Mixed-Humid,4A,C,9469.3668819
109268,Mixed-Humid,4A,C,3899.9201745
118270,Mixed-Humid,4A,C,6986.121233
100651,Mixed-Humid,4A,C,4831.2354468
104007,Mixed-Humid,4A,C,7288.3641563
101633,Mixed-Humid,4A,C,7439.484929
102464,Mixed-Humid,4A,C,2673.7353111
101706,Mixed-Humid,4A,C,4429.8553971
