NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Natural_Gas,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
4,-2,0,579,-2,2332.99,0,1,0,0,1,0,0,0,0,1
5,2,1,1660,2,8183.99,1,0,0,0,1,0,0,0,0,1
1,0,0,748,-2,3943.53,1,0,0,0,0,0,0,0,0,0
4,1,0,1498,1,5469.73,0,0,1,0,1,0,0,0,0,0
2,3,0,1210,3,5856.4,1,0,0,0,1,0,0,0,0,0
4,4,0,1757,4,5901.07,0,0,1,0,0,1,0,0,0,0
1,4,0,547,7,5636.3,1,0,0,0,0,1,0,0,0,0
5,5,0,885,5,12666.49,1,0,0,0,0,1,0,0,1,0
2,-2,0,599,-2,4078.91,0,1,0,0,0,0,0,0,0,1
2,2,0,933,2,4981.09,0,0,1,0,0,1,0,0,0,1
1,7,0,1506,7,3013.41,1,0,0,0,0,1,0,0,0,0
6,2,1,1138,2,4336.9,1,0,0,0,0,0,0,0,0,1
7,-2,1,792,-2,4794.76,0,1,0,0,0,0,0,0,0,1
3,10,1,1362,10,11532.27,0,0,1,0,0,1,0,0,0,0
1,-2,1,867,-2,4299.34,0,1,0,0,1,0,0,0,0,0
6,1,0,1227,5,2976.54,0,0,1,0,0,0,0,0,0,0
4,7,0,1231,7,10690.14,1,0,0,0,0,1,0,0,0,0
5,6,0,1531,6,9879.92,0,0,1,0,0,1,0,0,0,1
2,-2,0,809,-2,5354.42,0,1,0,0,1,0,0,0,0,1
4,12,0,1718,12,9401.81,1,0,0,0,0,1,0,0,0,0
1,1,0,1595,1,7489.0,1,0,0,0,0,1,0,0,0,0
2,2,1,1534,2,4629.8,1,0,0,0,0,0,0,1,0,0
5,-2,0,1303,-2,4064.66,0,1,0,0,0,0,0,0,0,1
1,1,0,1343,1,2139.06,1,0,0,0,0,1,0,0,0,0
4,2,0,2123,2,16497.78,0,0,1,0,0,1,0,0,1,0
4,7,0,1362,7,11990.84,0,0,1,0,0,1,0,0,0,1
2,2,0,1555,2,14911.42,1,0,0,0,0,1,0,0,0,1
1,-2,1,669,-2,5555.72,0,1,0,0,0,1,0,0,0,0
2,5,1,1767,4,3760.48,0,0,1,0,0,1,0,0,0,0
2,8,0,2125,8,11434.1,0,0,1,0,0,1,0,0,0,1
2,2,0,1416,1,3702.92,0,0,1,0,0,1,0,0,0,1
1,-2,0,839,-2,2309.95,0,1,0,0,0,1,0,0,0,0
4,3,0,1746,3,5620.92,0,0,1,0,0,1,0,0,0,1
4,10,1,1450,10,19132.0,1,0,0,0,0,1,0,0,0,1
